Country Name,Country Code,Year,"average_value_Access to electricity, rural (% of rural population)",average_value_Agricultural irrigated land (% of total agricultural land),average_value_Agricultural land (% of land area),average_value_Agricultural land (sq. km),"average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land",average_value_Agricultural methane emissions (% of total),average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural nitrous oxide emissions (% of total),average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),average_value_Agricultural raw materials exports (% of merchandise exports),average_value_Agricultural raw materials imports (% of merchandise imports),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",average_value_Arable land (% of land area),average_value_Arable land (hectares per person),average_value_Arable land (hectares),average_value_Average precipitation in depth (mm per year),average_value_Cereal production (metric tons),average_value_Cereal yield (kg per hectare),average_value_Crop production index (2014-2016 = 100),average_value_Employment in agriculture (% of total employment) (modeled ILO estimate),"average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)",average_value_Fertilizer consumption (% of fertilizer production),average_value_Fertilizer consumption (kilograms per hectare of arable land),average_value_Food production index (2014-2016 = 100),average_value_Forest area (% of land area),average_value_Forest area (sq. km),average_value_Land area (sq. km),average_value_Land under cereal production (hectares),average_value_Livestock production index (2014-2016 = 100),average_value_Permanent cropland (% of land area),average_value_Rural land area (sq. km),average_value_Rural land area where elevation is below 5 meters (% of total land area),average_value_Rural land area where elevation is below 5 meters (sq. km),average_value_Rural population,average_value_Rural population (% of total population),average_value_Rural population growth (annual %),average_value_Rural population living in areas where elevation is below 5 meters (% of total population),average_value_Surface area (sq. km)
Iraq,IRQ,2013,96.5187545,,20.41736539,88637.5,,,,4610,,4030,0.017480633,,4.768439716,11188556089,,10.62762595,0.13914834,4613750,,6498524,2214.8,154.12,21.30999947,18.01000023,21.81999969,142.2827565,50.07612896,143.74,1.900361184,8250,434128,2934105,107.5,0.575867025,,,,10081404,30.405,3.361614366,,435052
"Korea, Rep.",KOR,2019,100,,,,,,,,,,0.928355878,1.247891227,1.62242067,26717037476,,,,,,,,,5.139999866,4.829999924,5.369999886,,,,64.57136998,62970,97520,,,,,,,9602379,18.57,0.354634107,,
Low & middle income,LMY,2012,72.15518079,,37.53636272,35299763.75,,,,2748910,,1672890,1.864836013,2.353874889,9.116307089,2.33981E+12,,11.141971,0.177060285,,,1814326571,3260.297053,0.207563586,37.28552181,37.13300742,37.38220651,101.9571462,129.9358043,0.230214432,32.17734674,30260063.99,94052400.87,556492424,0.220496828,1.557866906,,,,3128172466,53.12651654,0.267864294,,96541388.46
Mali,MLI,2015,7.278037859,,33.76605283,412010,,,,18060,,11710,,,37.72325687,4943543912,,5.254099771,0.367629097,6411000,,8055038,1575.5,96.28,62.27000046,61.93999863,62.52000046,,27.49530182,96.13,10.89666363,132960,1220190,5112526,95.85,0.122931675,,,,10464833,60.009,1.619898176,,1240190
Oman,OMN,2013,100,4.77773864,4.586429725,14195,,,,990,,620,0.011432086,0.403019745,1.307696649,1027269243,,0.12180937,0.010013799,37700,,50873,9047.3,89.13,4.860000134,0.439999998,5.519999981,1.079951818,491.7262599,101.99,0.009693053,30,309500,5623,124.08,0.099515347,,,,795052,21.118,1.295567755,,309500
Slovak Republic,SVK,2019,100,,,,,,,,,,0.814354947,1.076174762,2.484217062,2611388114,,,,,,,,,2.789999962,1.340000033,3.980000019,,,,40.05615641,19259,48080,,,,,,,2523688,46.271,0.128823103,,
Japan,JPN,2014,100,34.81629039,12.39506173,45180,,,,14830,,7610,0.852696482,1.603443368,1.056266492,51233292919,,11.5829904,0.033172004,4222000,,11602968,6080.5,102.48,3.690000057,3.299999952,3.980000019,148.1931918,260.3268593,101.05,68.44554184,249484,364500,1908211,100.02,0.812071331,,,,11067921,8.696,-1.02565647,,377962
Angola,AGO,2015,3.815070299,,44.34692388,552873.1,,,,17690,,17460,0.033736186,0.689691247,9.122534471,10599805694,,3.930376193,0.175725621,4900000,,2019275,982.5,99.73,51.15999985,57.79999924,44.54000092,,8.048334694,99.96,55.65307612,693826.9,1246700,2055286,101.01,0.232614101,,,,10192856,36.554,1.501744288,,1246700
Cuba,CUB,2017,96.75916691,,60.69364162,63000,,,,7410,,3270,,,3.800683524,3681000000,64.93749102,28.02119461,0.256507151,2908600,1335,786203,2854.3,103.89,17.98999977,7.650000095,24.52000046,423.7574184,45.29262532,103.9,31.23314066,32420,103800,275444,105.15,6.290944123,,,,2610637,23.023,-0.167328633,,109880
Cyprus,CYP,2010,100,21.83406114,12.39177489,1145,,,,180,,260,1.670728992,0.778093941,2.063078498,530880286.4,,8.939393939,0.074239383,82600,,65732,1998.4,110.12,3.799999952,2.49000001,4.869999886,,202.7723971,107.21,18.70562771,1728.4,9240,32892,105.43,3.235930736,6949.833984,0.789283887,72.85275269,361033,32.449,1.758987807,0.560168645,9250
Haiti,HTI,2015,2.392575459,,66.76342525,18400,,,,3020,,1340,,,17.24028523,2561455752,,38.82438316,0.1000417,1070000,,524534,1016.3,97.6,30.40999985,14.65999985,43.68999863,,,97.84,13.16582003,3628.5,27560,516135,99.67,10.15965167,,,,5088189,47.573,-0.665737719,,27750
IDA only,IDX,2020,,,,,,,,,,,,,20.58565546,2.73389E+11,,,,,,,,,,,,,,,24.7332059,5096275.4,20604993.23,,,,,,,732267773,64.64974932,1.467772295,,
Nauru,NRU,2018,,,20,4,,,,0,,0,,,,,,,,,,,,104.38,,,,,,103.73,0,0,20,,100.88,20,,,,0,0,,,20
Small states,SST,2012,56.09624487,,32.56967354,814163.02,,,,23750,,19170,0.619833701,0.908036308,2.868417964,13219077579,,2.082811272,0.142455764,,,3394274,1769.639672,0.149093506,20.74016162,21.95747778,19.99152877,4.701413068,55.33845464,0.162217912,40.40544245,1010038.28,2499758,1914998,0.168886267,0.58124757,,,,16108353,44.04979918,0.580096167,,2572965
Uzbekistan,UZB,2014,99.98820277,,60.04231312,255420,,,,18640,,12030,,,30.2636296,23199657439,,9.506346968,0.131479272,4044000,,7890990,4823.6,85.51,27.53000069,25.85000038,28.70999908,82.58560841,244.6619683,89.15,8.24974142,35094.4,425400,1635900,94.05,0.874471086,,,,15117410,49.15,1.890566698,,448924
Argentina,ARG,2018,100,0.935062648,54.36055965,1487680,,,,84730,,45210,0.997860706,0.891536698,5.296472124,27415953896,,14.323873,0.881007725,39200000,,70591016,4671.4,91.52,0.100000001,0.059999999,0.119999997,364.0655521,48.23673622,97.2,10.52037315,287910,2736690,15111246,108.23,0.390252458,,,,3617403,8.13,-0.46153037,,2780400
East Asia & Pacific (excluding high income),EAP,2013,93.87170678,,48.82511481,7787591.8,,,,696240,,528330,1.512781939,3.196503113,9.885286381,1.16266E+12,,12.11890228,0.096219307,,,813296658,5221.588826,0.175011641,33.70981852,30.85897726,35.92088182,105.1274451,,0.192203324,30.2208079,4820210.186,15949971.3,155757007,0.182542111,3.921624611,,,,990765802,49.31834716,-1.286383549,,16307089.3
IDA & IBRD total,IBT,2015,74.54214045,,37.51619514,36013653.57,,,,2844530,,1749300,1.574444614,2.220191724,8.616143052,2.53615E+12,,11.09726328,0.171696158,,,2038572468,3464.348092,,34.09330647,33.51388122,34.44556274,94.78133943,135.5903478,,32.05729252,30773382.62,96005839.14,588443911,,1.565763895,,,,3160763678,51.19189059,0.212963301,,98558340.48
"Iran, Islamic Rep.",IRN,2014,100,16.58049354,28.21410153,459540,,,,16000,,15350,0.53181249,2.381099265,9.78225738,42326559528,,9.017289226,0.189593419,14687000,,17551045,2051.5,99.61,17.88999939,21.81999969,17.22999954,75.16725082,73.21302308,101.57,6.564490778,106919.8,1628760,8555401,105.11,1.098995555,,,,21047449,27.17,-0.671829357,,1745150
Least developed countries: UN classification,LDC,2020,,,,,,,,,,,,,19.59579532,2.28359E+11,,,,,,,,,,,,,,,26.29191224,5356449.5,20372993.23,,,,,,,691133815,65.35926516,1.489671993,,
Middle income,MIC,2017,85.18806345,,37.61000752,29772545.01,,,,2475220,,1528230,1.591478571,2.341254236,8.224230795,2.50803E+12,79.03554672,11.68780895,0.163509599,,,2051605232,3904.820352,,30.74283515,29.19544275,31.66156232,100.4378482,154.2081403,,33.93028641,26861675.08,79178138.2,525402125,,1.790202145,,,,2745489507,48.48137349,-0.093662249,,81312714.8
West Bank and Gaza,PSE,2017,99.07033081,,,,,,,,,,0.573498071,0.491901729,7.040550595,1135500000,,,,,,,,,6.710000038,7.650000095,6.539999962,,,,1.684385382,101.4,6020,,,,,,,1073875,24.106,0.891213641,,6020
French Polynesia,PYF,2018,100,,12.92613636,455,,,,,,,,,,,,0.710227273,0.009003396,2500,,,,99.81,7.039999962,3.950000048,9.359999657,,296.64,100.6,42.46022727,1494.6,3520,,103.03,6.534090909,,,,105977,38.166,0.435001206,,4000
Romania,ROU,2019,100,,,,,,,,,,1.072335735,1.560170297,4.125600093,10301493664,,,,,,,,,21.23999977,21.01000023,21.42000008,,,,30.11582928,69290.5,230080,,,,,,,8894686,45.916,-0.713940588,,
Upper middle income,UMC,2017,98.85435522,,35.67326188,19109289.11,,,,1149410,,836370,1.406005206,2.463645797,5.937046033,1.39449E+12,66.60224014,9.303652019,0.201897412,,,1189347059,4591.824274,,22.23069174,18.91788229,24.7467113,90.4142863,177.8745321,,37.4434939,20057558.87,53578427.8,259014152,,1.081128406,,,,860083434,34.84290923,-1.663180673,,54909032.8
St. Lucia,LCA,2018,99.34083931,,17.37704918,106,,,,20,,20,0.244766928,1.393943857,1.792457172,37029925.93,,4.918032787,0.016493485,3000,,,,97.06,11.35000038,5.139999866,16.25,,133.2233333,81.03,34.04918033,207.7,610,,62.89,11.47540984,,,,147917,81.322,0.434292824,,620
Africa Eastern and Southern,AFE,2016,23.90789663,,44.00568681,6515953,,,,343020,,245360,2.015218868,1.080221146,12.08142318,1.24227E+11,,8.253303447,0.195263804,,,81879385,1498.7147,,60.3779655,63.5584844,57.59588924,443.0815172,20.99008098,,31.11943142,4607876.1,14807070.34,54633169,,0.757129113,,,,397309170,65.13489906,1.991897892,,15121155.27
Central African Republic,CAF,2014,0.994960018,,8.154354875,50800,,,,9340,,8180,98.94720723,0.819073903,33.98562172,643964111,,2.889338342,0.403210361,1800000,,133356,896.2,97.56,72.30000305,75.90000153,69.31999969,,0.005994444,97.87,36.08944107,224830,622980,148809,98.41,0.128415037,,,,2680333,60.041,-0.127663796,,622980
Ethiopia,ETH,2014,12.00607575,,32.68613299,369100,,,,63760,,40430,1.174207538,0.566211705,38.52044969,21422080398,,13.81124167,0.158989928,15596000,,23607662,2325.4,95.93,70.20999908,62.75999832,76.48999786,,25.3595345,97.34,15.50310992,175065,1129225.045,10152014,100.35,1.163629877,,,,79458316,81.002,2.279074426,,1136262.415
Gibraltar,GIB,2010,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,,,,2.264643908,15.10676707,1.01793015,0,0,,14.97335531,10
Guinea,GIN,2012,1.190640818,,58.6032883,144000,,,,11400,,5420,,,16.83167319,1285610815,51.03676599,12.20901839,0.281636405,3000000,1651,3240342,1152.2,90.62,65.69999695,68.26000214,62.59000015,,2.931833333,90.73,26.44066417,64970,245720,2812308,87.99,2.848770959,,,,7003178,65.745,1.759337076,,245860
Iceland,ISL,2014,100,,18.67531172,18722,,,,310,,340,0.707275687,0.965058487,5.277768299,943013810.2,,1.208977556,0.370205201,121200,,5275,3154.9,95.05,4.539999962,1.980000019,6.829999924,,201.7326733,95.93,0.473436409,474.62,100250,1672,95.66,,,,,20733,6.333,0.575617716,,103000
Other small states,OSS,2015,49.31884132,,38.51837104,782568.5,,,,13810,,10370,0.75212585,1.04047373,2.243568821,7819118405,,1.983478173,0.139203423,,,2873553,1824.612687,,20.6061485,24.36947468,18.43067346,4.814072812,55.46572605,,29.25998043,594468,2031676,1574899,,0.395323769,,,,11407199,39.4046144,0.67921762,,2072824
Saudi Arabia,SAU,2015,100,,80.7722974,1736354,,,,2740,,3550,0.04172954,0.709904425,2.6193879,17137866667,,1.623489899,0.110033282,3490000,,1549853,5543.8,104.55,6.099999905,0.550000012,6.96999979,8.383807932,87.6504298,101,0.454484135,9770,2149690,279564,98.42,0.067637659,,,,5334913,16.82,1.258591699,,2149690
St. Lucia,LCA,2016,98.06508299,,17.37704918,106,,,,20,,20,0.143534662,1.169322042,2.080725254,38813333.33,,4.918032787,0.016664074,3000,,,,99.83,10.84000015,4.800000191,15.55000019,,170.8933333,100.46,34.04918033,207.7,610,,101.17,11.47540984,,,,146618,81.442,0.446369806,,620
Ukraine,UKR,2020,,,,,,,,,,,,,9.268396429,14419957340,,,,,,,,,,,,,,,16.72419745,96900,579400,,,,,,,13413416,30.392,-1.01146157,,
Belgium,BEL,2018,100,,44.71598415,13540,,,,6090,,3310,1.295970239,1.182989061,0.565349487,3072169346,,28.07133421,0.074384876,850000,,2483008,8154,93.04,0.99000001,0.639999986,1.299999952,20.34694485,293.4268824,97.72,22.76420079,6893,30280,304515,100.55,0.792602378,,,,228427,1.999,-1.52577216,,30530
Canada,CAN,2017,100,,6.471855171,580240,,,,24150,,33000,4.557507136,0.850565137,1.889994632,31171032151,7.413546085,4.295199758,1.053733456,38509000,537,56377700,4076.3,107.8,1.519999981,0.959999979,2.019999981,24.26808904,101.8203537,107.09,38.7078876,3470390.5,8965590,13830500,105.47,0.019295997,,,,6815698,18.65,0.931952478,,9879750
"Egypt, Arab Rep.",EGY,2019,100,,,,,,,,,,1.695976697,2.569926743,11.04897503,33487329157,,,,,,,,,20.62000084,21.20999908,20.45999908,,,,0.045185594,449.8,995450,,,,,,,57492251,57.27,1.930891325,,
Guinea-Bissau,GNB,2019,12.90891563,,,,,,,,,,,,30.39657945,437600843.3,,,,,,,,,60.47999954,64.13999939,57.13999939,,,,70.71301565,19884.5,28120,,,,,,,1079997,56.223,1.717540749,,
"Hong Kong SAR, China",HKG,2016,100,,4.761904762,50,,,,,,,0.593615374,0.218939311,0.076211494,244515156.6,,2.857142857,0.000408909,3000,,0,1990.2,100.67,0.189999998,0.119999997,0.239999995,,2715.943333,104.3,,,1050,0,105.04,0.952380952,,,,0,0,,,1110
Honduras,HND,2015,79.0115274,,29.67199929,33200,,,,4420,,2200,1.393086394,1.051634111,12.21597845,2562883911,,9.116096166,0.111929194,1020000,,721572,1820.1,100.56,28.71999931,7.460000038,40.50999832,,131.6679216,99.99,57.76950576,64638.3,111890,396445,100.42,4.826168558,,,,4085771,44.835,0.299927694,,112490
Lesotho,LSO,2016,23.46330124,,77.60210804,23560,,,,790,,510,5.815119892,2.358896103,5.71207766,120771817.1,,11.5942029,0.169635202,352000,,25806,466.9,82.63,45.84000015,42.25999832,48.47999954,,,94.68,1.137022398,345.2,30360,55276,99.15,0.131752306,,,,1508202,72.683,0.214391949,,30360
Maldives,MDV,2010,99.2873708,,26.33333333,79,,,,0,,0,,2.218284061,5.634120626,145820960.9,,13,0.010663604,3900,,164,2247.1,119.51,13.21000004,3.720000029,17.45000076,,94.35897436,116.79,2.733333333,8.2,300,73,98.68,10,291.7807007,45.50767853,132.7826233,232480,63.566,2.784451198,48.23643801,300
Middle income,MIC,2020,,,,,,,,,,,,,8.859895031,2.81347E+12,,,,,,,,,,,,,,,33.81301471,26768858.3,79167322.2,,,,,,,2731157894,46.74599123,-0.20872395,,
New Caledonia,NCL,2016,100,,10.06728665,1840.3,,,,,,,,,,,,0.326586433,0.02216447,5970,,8817,5896.2,114.11,2.059999943,0.970000029,2.960000038,,248.9112228,97.84,45.8654267,8384.2,18280,1495,90.12,0.20404814,,,,81287,30.179,-1.212980892,,18580
Oman,OMN,2011,100,,4.642326333,14368,,,,780,,530,0.008679819,0.504793994,1.256474758,852793384.1,,0.119224556,0.011349998,36900,,58015,9423.9,81.21,5.090000153,0.49000001,5.849999905,1.368852979,440.3604336,81.22,0.009693053,30,309500,6156,81.43,0.126332795,,,,774315,23.817,2.464928491,,309500
Slovenia,SVN,2014,100,0.32528788,30.52830189,6148.4,,,,1030,,560,2.221522951,2.942723432,2.017096535,1007150117,,9.138033764,0.089254018,184040,,653111,6472.5,98.26,9.630000114,9.619999886,9.630000114,,263.0786785,97.67,61.95630586,12478,20140,100906,97.31,2.635054618,,,,957645,46.443,-0.384995869,,20675
Turkmenistan,TKM,2012,99.79727903,,72.00646905,338380,,,,6320,,2760,,,8.501466802,2989473684,94.29777492,4.128274424,0.368267771,1940000,161,1394235,1272.4,93.57,27.43000031,25.52000046,28.81999969,,,98.58,8.782159045,41270,469930,1095720,100.77,0.12767859,,,,2677413,50.825,1.110946019,,488100
Mozambique,MOZ,2017,4.415099303,,52.43190315,412314,,,,8300,,8060,1.450837108,1.631934817,25.04368115,3310545314,73.04820095,7.184821588,0.197214514,5650000,1032,1608964,817.1,103.35,71.05999756,80.73999786,60.50999832,,5.138660177,102.31,47.56809685,374066,786380,1969213,98.27,0.381494952,,,,18491502,64.545,2.084429762,,799380
Aruba,ABW,2012,100,,11.11111111,20,,,,,,,0.031729305,0.256387543,,,,11.11111111,0.019499829,2000,,,,,,,,,,,2.333333333,4.2,180,,,,,,,58506,57.043,0.472862723,,180
"Congo, Dem. Rep.",COD,2016,1,,14.11525992,320000,,,,13170,,13440,,,18.59975364,6906981310,,5.425553031,0.156112905,12300000,,3032139,770,97.6,65.80000305,73.31999969,58.63999939,,1.43181626,97.77,57.59058689,1305607.4,2267050,3937898,101.21,0.661652809,,,,44667921,56.693,2.287777839,,2344860
Cabo Verde,CPV,2012,65.53133106,,20.84367246,840,,,,60,,60,0.032784596,1.083292451,8.446544468,147122740.1,92.59259259,13.64764268,0.108858941,55000,228,6001,196.2,107.7,15.64000034,9.659999847,19.80999947,,,102.33,10.74937965,433.2,4030,30582,94.22,0.992555831,,,,187844,37.179,-0.06173431,,4030
Caribbean small states,CSS,2010,89.70214159,,4.924762258,19937.9,,,,2290,,1780,0.335203788,1.016676873,4.097260124,2845202741,,1.824132395,0.105905573,,,895925,3986.321461,0.143011031,12.35133336,5.467641911,17.22289969,1.047299114,66.37819186,0.147291194,90.53412375,366527.4,404850,224751,0.146096359,0.543658145,393218.2085,3.723415414,16267.83774,3456333,49.56597778,0.682072802,3.841287065,434990
Faroe Islands,FRO,2015,100,,2.148997135,30,,,,,,,,,15.86518313,399500587.1,,2.148997135,0.062428467,3000,,,,95.89,,,,,,100.56,0.05730659,0.8,1396,,101.16,,,,,28046,58.362,-0.046341682,,1396
High income,HIC,2012,99.99921023,,35.61526377,12440295.78,,,,662240,,547020,1.514554934,1.258920736,1.382418137,6.78464E+11,,9.598708229,0.287645987,,,748486139,4949.50006,0.139602448,3.273538497,2.363804459,3.978308648,75.96714512,137.3808865,0.159460377,29.09315931,10151695.65,34930244.63,151223887,0.145729169,0.482783686,,,,229301202,19.65839482,-0.290279435,,36848597.72
"Hong Kong SAR, China",HKG,2013,100,,4.857142857,51,,,,,,,1.067374331,0.555870825,0.057288366,157942238.3,,2.952380952,0.000431821,3100,,0,2000.4,101.33,0.209999993,0.140000001,0.270000011,,598.0483871,101.13,,,1050,0,101.09,0.952380952,,,,0,0,,,1100
Honduras,HND,2016,82.12668128,,29.67199929,33200,,,,4500,,2380,1.521127048,1.296070514,12.04990141,2616952047,,9.116096166,0.110022939,1020000,,701829,1891.2,107.79,27.35000038,7.869999886,38.27999878,,164.1301078,104.86,57.58378765,64430.5,111890,371103,103.6,4.826168558,,,,4096486,44.187,0.261908325,,112490
IDA total,IDA,2017,43.01724197,,39.84308239,9956609,,,,863940,,491290,2.983371935,1.608543033,21.37140745,4.4329E+11,90.57261517,11.56077816,0.177710205,,,321913661,2080.644819,,50.35881748,55.61297686,46.88242348,207.6539779,47.00043902,,26.07311252,6515554.802,25000442.03,154717519,,1.492839511,,,,1013307108,63.51100379,1.502831994,,25544827.64
Iceland,ISL,2013,100,,18.67531172,18722,,,,290,,320,0.971535979,1.100431345,5.855934692,944273012.9,,1.208977556,0.374346746,121200,,5517,,85,4.449999809,2.450000048,6.269999981,,168.8036304,93.35,0.466473815,467.64,100250,,93.38,,,,,20614,6.367,0.427808139,,103000
Kazakhstan,KAZ,2015,100,0.796357343,80.10508575,2162597,,,,15160,,9490,0.180083533,0.541728635,4.710547419,8685704531,,10.96458866,1.68736404,29601100,,18585932,1278.1,98.55,18.01000023,17.09000015,18.87000084,54.10212848,4.29544848,99.14,1.22549031,33084.5619,2699700,14542276,100.01,0.048894322,,,,7509900,42.809,1.291112455,,2724902
Kazakhstan,KAZ,2018,100,0.8176859,80.0224099,2160365,,,,15970,,9470,0.260070572,0.637813872,4.395858103,7883531696,,11.01915028,1.627690101,29748400,,20196034,1359.4,117.84,15.77000046,14.25,17.15999985,82.54580671,8.262629251,114.2,1.257992073,33962.012,2699700,14856767,111.43,0.048894322,,,,7780651,42.572,1.098646589,,2724902
Mongolia,MNG,2018,94.62948751,0.032177585,72.8416348,1134330,,,,15910,,12970,5.326298423,0.355062739,10.78556141,1413854384,,0.852397327,0.418709904,1327400,,453849,1236.3,109.63,26.65999985,24.54999924,28.46999931,,31.76546633,152.22,9.102555458,141750,1557255,367109,154.71,0.003210778,,,,1000361,31.555,1.536391889,,1564116
Norway,NOR,2020,,,,,,,,,,,,,1.852511401,6706257191,,,,,,,,,,,,,,,33.36000582,121800,365107.85,,,,,,,915909,17.026,-1.492127487,,
Philippines,PHL,2015,83.19498028,,41.72116578,124400,,,,49250,,9880,0.948387357,0.624281812,10.99649915,33698347264,,18.74769427,0.054743164,5590000,,25669246,3556.1,100.23,29.19000053,18.95999908,35.91999817,893.7371415,139.4234258,100.24,23.52399638,70141.5,298170,7218290,100.12,17.94278432,,,,54851130,53.716,1.224419477,,300000
South Africa,ZAF,2011,78.21422832,1.661236433,79.44505354,963740,,,,17100,,15160,1.942267168,1.033084462,2.285472538,9517139029,,9.919297002,0.23138712,12033000,,12928365,4017,94.79,4.599999905,3.450000048,5.449999809,361.5556994,60.33740547,89.68,14.32514488,173776.9,1213090,3218442,85.25,0.340452893,,,,19373480,37.254,0.117166832,,1219090
United Arab Emirates,ARE,2011,100,18.3011583,5.470290059,3885,,,,970,,690,0.06273946,0.300134241,0.671910149,2356160654,,0.635032385,0.005040921,45100,,4590,24064.3,68.72,3.079999924,0.02,3.480000019,10.64516129,900,75.26,4.467755562,3173,71020,191,80.71,0.611095466,,,,1393640,15.577,2.402191465,,98647.9
Azerbaijan,AZE,2017,100,29.92987964,57.79560136,47775,,,,3990,,3190,0.295942682,1.697925045,5.607369011,2291482686,72.52613131,25.33812393,0.212552566,2094500,447,2824527,2942.2,110.16,36.34999847,42.18000031,30.90999985,,36.67366913,107.67,13.27314606,10971.848,82662,959992,104.76,2.985652416,,,,4400516,44.657,0.262814274,,86600
Bangladesh,BGD,2010,39.99789779,,70.99177998,92410,,,,58330,,24060,1.948603343,8.111120427,17.00118126,19598804914,,59.85250058,0.05279334,7791000,,51862850,4288.3,90.21,47.31000137,65.58999634,41.02999878,306.3179855,212.9639327,90.21,14.50673765,18883.4204,130170,12093951,85.72,6.529922409,123889.625,8.989830464,12137.62109,102621005,69.538,0.047766737,7.123837738,148460
Europe & Central Asia (excluding high income),ECA,2020,,,,,,,,,,,,,5.419654645,1.81062E+11,,,,,,,,,,,,,,,39.42360781,8920192.2,22626524.3,,,,,,,136567177,32.63456014,-0.208069417,,
Spain,ESP,2012,100,13.00571598,53.86137822,269420,,,,22490,,14420,1.24051821,1.294211103,2.408304149,31905697226,69.51229497,25.12944563,0.268744473,12570000,636,17547278,2842.5,81.29,4.21999979,2.410000086,5.71999979,90.7532294,122.5808274,85.85,37.07977849,185476.76,500210,6173208,94.07,9.933827792,,,,9868179,21.098,-1.01463824,,505940
Fiji,FJI,2010,81.66388369,,23.26217843,4250,,,,650,,320,7.481406045,0.284099041,9.381897376,294639316.1,,9.031198686,0.191901523,165000,,8617,2871.1,107.78,24.44000053,15.81999969,28.95999908,,16.35151515,104.2,58.74329502,10732.4,18270,3001,97.21,4.652435687,17199.44379,2.466154106,467.238308,411241,47.829,-0.345670845,1.917390887,18270
Equatorial Guinea,GNQ,2016,3.706809428,,10.12477718,2840,,,,10,,10,,,2.332239209,262162551.4,,4.278074866,0.098750721,120000,,,,103.11,38.86000061,43.34999847,36.24000168,,,103.58,88.4798574,24818.6,28050,,98.91,2.139037433,,,,350726,28.862,2.118505969,,28050
Cambodia,KHM,2020,,,,,,,,,,,,,22.83697277,5775756202,,,,,,,,,,,,,,,45.7079651,80683.7,176520,,,,,,,12667630,75.768,0.837982559,,
Lao PDR,LAO,2018,97.23783949,,10.37261698,23940,,,,7080,,2500,8.377122196,1.12061653,15.70918682,2820393849,,6.715771231,0.219500168,1550000,,4566380,4504.2,93.75,62.36999893,64.62999725,60.18999863,,,92.7,72.20320624,166645,230800,1013794,100.04,0.732235702,,,,4589691,64.996,0.574189307,,236800
Middle income,MIC,2014,79.35108121,,37.38965294,29569113.22,,,,2421300,,1476220,1.428793493,2.167244691,8.692793073,2.44832E+12,14.89,11.51502995,0.166400756,,,1858918190,3680.65472,0.218401547,32.81492497,31.48068803,33.60821649,99.37349942,153.7970917,0.243687708,34.09863789,26966457.44,79094566.3,505049705,0.234567777,1.726840979,,,,2751438521,50.27620213,-0.029606685,,81306528.3
Palau,PLW,2018,100,,9.347826087,43,,,,0,,0,0.15041339,1.695509402,3.210040662,9002100,,0.652173913,0.016749484,300,,,,,,,,,,,89.67391304,412.5,460,,,4.347826087,,,,3595,20.07,-2.200914149,,460
"Korea, Dem. People's Rep.",PRK,2019,61.47065071,,,,,,,,,,,,,,,,,,,,,,43.81999969,47.15000153,40.81999969,,,,50.25595881,60513.2,120410,,,,,,,9718747,37.866,-0.163549836,,
Paraguay,PRY,2020,,,,,,,,,,,,,10.81709236,3818892058,,,,,,,,,,,,,,,40.52922225,161022.6,397300,,,,,,,2697309,37.817,0.43925198,,
Post-demographic dividend,PST,2015,99.93155812,,32.9874731,10336616.43,,,,595510,,505490,1.609854081,1.277554265,1.350798249,5.82054E+11,,11.43525219,0.326825378,,,872967676,5661.969352,,3.327983204,2.407691568,4.097425402,78.3623112,127.1433857,,32.07135003,10049212.74,31335005.33,154180648,,0.528105867,,,,211211514,19.25394961,-0.446672185,,33466041.17
Suriname,SUR,2015,88.71325603,75.86206897,0.557692308,870,,,,500,,240,1.778504312,0.091153183,10.40822152,533555770.2,,0.416666667,0.116250787,65000,,268529,4529.6,97.92,7.690000057,4.5,9.520000458,,206.3504615,98.2,97.76711538,152516.7,156000,59283,99.5,0.038461538,,,,189793,33.944,1.150470408,,163820
Tunisia,TUN,2017,100,,62.71240989,97430,,,,2120,,2340,0.557416611,1.785195153,9.685051553,3854897909,77.39487179,16.78038105,0.228015405,2607000,207,1637529,1306.6,91.16,14.81000042,9.93999958,16.36000061,18.86887504,44.1503644,93.58,4.49369207,6981.4,155360,1253233,99.73,15.35787848,,,,3585297,31.358,0.199540874,,163610
Vanuatu,VUT,2016,46.5896373,,15.34044299,1870,,,,340,,140,,,,,,1.640689089,0.071858181,20000,,897,608.2,128.41,59.41999817,60.06000137,58.91999817,,,122.84,36.28383921,4423,12190,1475,102.09,10.25430681,,,,208572,74.938,2.485420054,,12190
Kuwait,KWT,2017,100,,8.496071829,1514,,,,180,,330,0.06583555,0.494539781,0.525092038,633825132.6,62.272,0.482603816,0.002120262,8600,121,6103,5656.2,101.97,1.929999948,0.029999999,2.569999933,1.820047124,1077.848837,106.86,0.350729517,62.5,17820,1079,110.68,0.381593715,,,,0,0,,,17820
